plasmid_0;136+
plasmid_1;199+,264-,257+,249-,268-,238+,271-,88+,258-,222-,251-
plasmid_2;218-,320-,61-,137+,119+
plasmid_3;109+,227+
plasmid_4;193+,292-,323+,299-,245+,267-,276-,321-,326-,300-,173+,278-,180+,212-,131-
plasmid_5;282-,243-,335+,240-,89+,272+,318-,245-,299+
plasmid_6;140-,185-,180-,278+,184-,302+,270+,198+,214-,118+,281+,162-,106+,306-
plasmid_7;325-,316+,232+,185-,180-,277+,177+,317-,325+,172+,110-,159+,99-,315+,325+
plasmid_8;204+,201+,307-,281+,162-,328-,107+,162+,130+,158+,164-,295-,215-,90+,159-,70-,310-,154+,80-,287+,245+,318+,244-
plasmid_9;244+,103+,244-
plasmid_10;148-,189+,207+,83+,160-
plasmid_11;247-,220-,209-,91-,186-,168-,171+,144+,287+,245+,318+,244-
plasmid_13;79+
plasmid_14;299-,245+,318+,272-,276-,321-,326-,300-,142+,152-,98-,253-
plasmid_15;309+,149-,225+,285+,216-,67+,291-,321+,276+,272+,318-,245-,287-,292+,18-,291-
plasmid_16;211-,298+,279-,84+,228+
plasmid_18;148-,187+,207+,94+,160-
plasmid_19;240-,138+
plasmid_21;105+
plasmid_22;151+,150+,283+,292-,287+,245+,318+,272-,276-,145+,224+,164-,175-,146+
plasmid_23;256+,133+,274-,194+,260-,290+,275-,294+,153-,156+,147-,200-,311+,269+,112+,102-,206-,255+,179+,139+,191+,210+
plasmid_25;297+,123+,297-
plasmid_27;122+
plasmid_28;185-,180-,278+,97+
plasmid_30;141+
plasmid_31;115+
plasmid_44;172+,183+,240+
plasmid_47;172+,176-,327-
plasmid_48;199+,265-,257+,250+,268-,237-,271-,120+,258-,223-,251-
plasmid_51;202-,239-,154+,126+,152+,208+,192-
plasmid_55;165+,255-,205-,102+,121+,269-,314-
plasmid_59;303+,147+,169+
