plasmid_0;116+,264+
plasmid_1;266+,73-,130-,299+,64-,132+,81+,343+,193+,304+,218+,308-,208+,266+,264-,72-,218-,303-,193-,342+,200-,117-,280+,326-,264-,140-,176+,256-,140-,188-,128+,269-,317-,241-,237+,208+,280+
plasmid_2;195-,227-,105+,167+,124-,58+,316-,330-,279-,189-
plasmid_3;75+
plasmid_4;247-,40-,123+,57+,264+,266-,208-,308+,238+,241+,317+,269+,148-,143+,169+,253+,247-,118+
plasmid_5;192+,309+,97+,195+
plasmid_6;218+,152-,264+,326+,280-,208-,308+,238+,82+,200+,343+,193+,303+,218+,92-,218-,304-,193-
plasmid_7;212-,311+,180-,114-,177-,155+,141-,270+,172+,83+
plasmid_8;320+,307-,89+,132-,98-,147+,320+,306+,150+,143+,158+,194-,305-,320-
plasmid_9;177+,113-,141+,184+,86+,241-,238-,308-,208+,280+,326-,264-,99+,155-,177+,21+,268-
plasmid_10;202+,293-,91-,129+,120+,269-,317-,241-,238-,308-,208+,266+,264-,167-,60+
plasmid_11;175-,61+,268-,317-,241-,238-,308-,208+,266+,264-,314+,259+,187-,260-
plasmid_12;190+,76+,248-,274-,273-,277-,240-,224-,255+
plasmid_14;106+
plasmid_19;158-,143-,88+
plasmid_37;162+,198+,130+,108-,129+,101-,124+
plasmid_49;287-,135-,227+,195+
