plasmid_0;113+,257+
plasmid_2;191+,225+,103+,167+,122+,59-,314+,326-,272+,185+
plasmid_3;115+,245+,252-,169-,140+,145+,253-,239-,237-,307-,203-,262-,73+,128+,298+,185+
plasmid_4;191+,96+,308-,188+
plasmid_5;196-,340+,189-,303+,215-,72+,257+,262+,203+,307+,237+,81+
plasmid_6;317+,306-,88-,130+,97+,144+,317+,305+,147+,140-,156-,190-,304-,317-
plasmid_7;25+,128+,296+,64-,130-,80-,341-,189-,303+,215-,91+,215+,302+,189+
plasmid_8;123+,151+,139-,182-,85+,239-,235-,203-,262-,257-,58+,121+,39+
plasmid_10;140+,87+,156+,140+,79-,196-,341-,189-,302-,215-,307-,203-,273-,325-,257-,167-,61-
plasmid_11;162-,139-,182-,98+,156+,140+,87+,156+
plasmid_13;175-,153-,139+,263-,171+,82+
plasmid_15;186+,75+,246+,268+,265+,269+,238-,331-,212+,282-
plasmid_28;122+,99-,127+,106+,128+,194-,160-
plasmid_34;108+
