plasmid_0;75+
plasmid_1;91+,58+,111+,203+,188+,140+
plasmid_2;148-,90+,105-,61+,111+
plasmid_3;143+,169+,168+,59-,86-,53+,160+,91+,37+,129-
plasmid_4;65+,160+,91+,104+,57+,91-,48-,196-,81-,47-,111+,124+
plasmid_5;160-,86-,93-,91-,160-,87+,91-
plasmid_7;160-,69+,79+
plasmid_8;77+,104-
plasmid_9;143+,169+,173-,41+,185-,145-,158-,134+,155-,194-,147-,96-,167+
plasmid_11;169+,176+,50-,74-,106+,118+,20+,164-,169-,143-
plasmid_13;169+,173-,66+,168-,169-,143-
plasmid_14;143+,170+,171-,34+,70-,22+,174+,169-,143-
plasmid_15;129+,49+
plasmid_22;187+,119+,207+,78+
plasmid_26;136-,183+,199-,167-,96+,81+
